Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,Smiles
CHEMBL1179,27484.54545,4.56,N[C@@H]1C[C@H]1c1ccccc1
CHEMBL1215658,2316.666667,5.64,N[C@@H]1C[C@H]1c1ccc(OCC[C@H](NC(=O)c2ccccc2)C(=O)NCc2ccccc2)cc1
CHEMBL1255743,25400,4.6,Cl.N[C@@H]1C[C@H]1c1ccccc1
CHEMBL1795972,41800,4.38,COc1ccc([C@@H]2C[C@H]2N)cc1.Cl
CHEMBL1795973,79600,4.1,Cl.N[C@@H]1C[C@H]1c1ccc(F)cc1
CHEMBL1795974,3700,5.43,Cl.N[C@@H]1C[C@H]1c1ccc(Br)cc1
CHEMBL1795975,8900,5.05,Cl.N[C@@H]1C[C@H]1c1cccc(Br)c1
CHEMBL1795976,11700,4.93,Cl.N[C@@H]1C[C@H]1c1ccccc1Br
CHEMBL1795977,8000,5.1,NC1CC1c1cccc2ccccc12
CHEMBL1795978,6000,5.22,O=C(CNC1CC1c1ccccc1)NC1CC1
CHEMBL1795979,2000,5.7,NC1CC1c1cccc(OCCC[C@H](NC(=O)c2ccccc2)C(=O)NCc2ccccc2)c1
CHEMBL1795980,1052.5,5.98,NC1CC1c1cc(F)cc(F)c1OCc1ccccc1
CHEMBL1795981,1633.333333,5.79,NC1CC1c1ccc(NC(=O)OCc2ccccc2)cc1
CHEMBL1795982,6800,5.17,Cl.N[C@@H]1C[C@H]1c1ccc(-c2ccccc2)cc1
CHEMBL1797639,3155.555556,5.5,NC1CC1c1cccc(OCC[C@H](NC(=O)c2ccccc2)C(=O)NCc2ccccc2)c1
CHEMBL1797640,1050,5.98,NC1CC1c1ccc(NC(=O)c2ccccc2)cc1
CHEMBL1797641,1425,5.85,NC1CC1c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)cc1
CHEMBL1797642,8950,5.05,NC1CC1c1c(F)c(F)c(F)c(F)c1F
CHEMBL1797643,9000,5.05,NC1CC1c1cccc(F)c1OCc1ccccc1
CHEMBL1797644,9000,5.05,CC(C)COc1ccc(Cl)cc1C1CC1N
CHEMBL1797645,1500,5.82,CCc1cccc(COc2c(F)cc(F)cc2C2CC2N)c1
